ID,Name,Title,Speciality,Image,Availability,TimeSlots
1,TS. BS NGUYỄN TRI THỨC,GIÁM ĐỐC BỆNH VIỆN,RỐI LOẠN NHỊP,https://prof-imgs.vgcloud.vn/Images/v-profile/2021/06/09/20/20210609205710-IMG_4272-1.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
2,PGS.TS PHẠM THỊ NGỌC THẢO,PHÓ GIÁM ĐỐC BỆNH VIỆN,HỒI SỨC CẤP CỨU,https://vwu.vn/documents/246915/3001609/IMG_6522.JPG/2abf4631-9b79-42b3-b606-a49ceb4363b4,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
3,PGS.TS LÂM VIỆT TRUNG,PHÓ GIÁM ĐỐC BỆNH VIỆN,NGOẠI TIÊU HÓA,https://i1-suckhoe.vnecdn.net/2022/12/02/crh00326-1669974776-1669975246-3841-3527-1669975404.jpg?w=1020&h=0&q=100&dpr=1&fit=crop&s=yAqyUx4XWMc9yPYY857Khw,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
4,BS. CKII LÊ TRUNG NHÂN,TRƯỞNG KHOA KHÁM BỆNH,NỘI TỔNG QUÁT,https://cdn.tuoitre.vn/471584752817336320/2024/2/5/screenshot-2024-02-05-152748-1707121681178102793638.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
5,BS. CKII PHẠM VĂN KHIÊM,TRƯỞNG KHOA ĐIỀU TRỊ THEO YÊU CẦU,NỘI TỔNG QUÁT,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
6,BS. CKII NGUYỄN HỮU HÒA,PHÓ KHOA KHÁM BỆNH,NỘI TỔNG QUÁT,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
7,BS. CKII NGUYỄN HỮU BẢO HOÀI,PHÓ KHOA KHÁM BỆNH,NỘI TỔNG QUÁT,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
8,TS. BS HOÀNG LAN PHƯƠNG,NGUYÊN TRƯỞNG KHOA KHÁM XUẤT CẢNH,NỘI TỔNG QUÁT,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
9,TS.BS LÂM VĂN HOÀNG,TRƯỞNG KHOA NỘI TIẾT,NỘI TIẾT,https://isofhcare-backup.s3-ap-southeast-1.amazonaws.com/images/top-bac-si-uy-tin-benh-vien-cho-ray-ivie-(3)-jpg_1f38e4ef_e73e_4e58_8896_5c70f130f261.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
10,TS. BS PHAN HỮU HÊN,PHÓ KHOA NỘI TIẾT,NỘI TIẾT,https://cdn.tuoitre.vn/471584752817336320/2024/1/24/4201385293023530428172666212832518041578541n-1706086139327506446261.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
11,TS. BS LÊ VĂN TUẤN,TRƯỞNG KHOA CHẤN THƯƠNG CHỈNH HÌNH,CHẤN THƯƠNG CHỈNH HÌNH,https://tamanhhospital.vn/wp-content/uploads/2013/02/5.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
12,BS. CKII HỒ TẤN PHÁT,TRƯỞNG KHOA NỘI TIÊU HÓA,NỘI TIÊU HÓA,https://vnn-imgs-f.vgcloud.vn/2018/09/14/17/thuc-hu-vu-benh-nhan-20-tuoi-tu-vong-vi-bac-si-khong-cho-chuyen-qua-my.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
13,ThS. BS MÃ PHƯỚC NGUYÊN,PHÓ KHOA NỘI TIÊU HÓA,NỘI TIÊU HÓA,https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2022/4/14/3-1649915293243831336093.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
14,PGS. TS VÕ DUY THÔNG,PHÓ KHOA NỘI TIÊU HÓA,NỘI TIÊU HÓA,https://demobvdaihoc.umc.edu.vn/web-api/uploads/DSC_0385_Da_sua_1_204caaa7b4.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
15,BS. CKII KIỀU NGỌC DŨNG,TRƯỞNG KHOA ĐIỀU TRỊ RỐI LOẠN NHỊP,RỐI LOẠN NHỊP,https://cdn.tuoitre.vn/471584752817336320/2023/12/28/screenshot-2023-12-28-103932-1703734789952551274715.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
16,ThS. BS LÝ VĂN CHIÊU,PHÓ GIÁM ĐỐC TRUNG TÂM TIM MẠCH,NỘI TIM MẠCH,https://phongkham274.com/upload/1003363/20231019/CHieu_2_aae5b97f49.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
17,BS. CKII ĐẶNG QUÝ ĐỨC,PHÓ KHOA NỘI TIM MẠCH,NỘI TIM MẠCH,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
18,PGS. TS NGUYỄN ĐÌNH KHOA,TRƯỞNG KHOA CƠ XƯƠNG KHỚP,NỘI CƠ XƯƠNG KHỚP,https://cdn.youmed.vn/photos/104c738d-59d3-4643-b7ab-7f94a5aaca94.JPG,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
19,BS. CKII HUỲNH PHAN PHÚC LINH,PHÓ KHOA CƠ XƯƠNG KHỚP,NỘI CƠ XƯƠNG KHỚP,https://youmed.vn/tin-tuc/wp-content/uploads/2023/05/bac-si-huynh-phan-phuc-linh.png?width=140&aspect_ratio=1:1,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
20,BS. CKII LƯU VĂN ÁI,PHÓ KHOA CƠ XƯƠNG KHỚP,NỘI CƠ XƯƠNG KHỚP,https://cdn.youmed.vn/photos/27dd0ed7-f30a-4498-814b-c8fd320e8abd.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
21,PGS. TS THÁI MINH SÂM,TRƯỞNG KHOA NGOẠI TIẾT NIỆU,TIẾT NIỆU-NAM KHOA-GHÉP THẬN,https://accutech.com.vn/wp-content/uploads/2022/11/Thai-Minh-Sam-1.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
22,TS. BS CHÂU QUÝ THUẬN,PHÓ KHOA NGOẠI TIẾT NIỆU,TIẾT NIỆU-NAM KHOA-GHÉP THẬN,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
23,BS. CKII HOÀNG KHẮC CHUẨN,PHÓ KHOA NGOẠI TIẾT NIỆU,TIẾT NIỆU-NAM KHOA-GHÉP THẬN,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
24,BS. CKII LÊ HỒNG MINH,PHÓ KHOA NỘI THẦN KINH,NỘI THẦN KINH,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
25,PGS. TS HUỲNH LÊ PHƯƠNG,TRƯỞNG KHOA NGOẠI THẦN KINH,PHẪU THUẬT CỘT SỐNG,https://benhdotquy.net/wp-content/uploads/2022/03/bs_huynh_le_phuong_truong_khoa_ngoai_than_kinh.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
26,TS. BS NGUYỄN NGỌC KHANG,PHÓ KHOA NGOẠI THẦN KINH,PHẪU THUẬT CỘT SỐNG,https://sohanews.sohacdn.com/2016/a1-1480591616199.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
27,BS. CKII ĐOÀN TIẾN MỸ,TRƯỞNG KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,https://cdn.youmed.vn/photos/95427b3e-d4e1-4e75-91c8-14f9b54a2d0c.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
28,TS. BS PHẠM HỮU THIỆN CHÍ,PHÓ KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,https://vcdn1-suckhoe.vnecdn.net/2020/07/24/vne-ghepgan-onghung-bybv-chora-1213-8916-1595608607.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=yspgFYMA1Dky-dqfRRRPzg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
29,BS. CKII LÊ CÔNG KHÁNH,PHÓ KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,http://choray.vn/Portals/0/Gioi%20thieu%20Khoa%20Phong/Lam%20sang/PKLeCongKhanh.jpg?ver=2024-01-02-142636-190,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
30,BS. CKII BÙI AN THỌ,PHÓ KHOA GAN MẬT TỤY,GAN MẬT TỤY-GHÉP GAN,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
31,BS. CKII NGUYỄN TRƯỜNG TRÚC LÂM,PHÓ KHOA NGOẠI TIÊU HÓA,NGOẠI TIÊU HÓA,https://www.phongkhamendoli.com/uploads/contents/ds-bs-khoa-ngoai-tieu-hoa-bv-cho-ray-3_1689092505.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
32,BS. CKII CHÂU PHÚ THI,PHÓ KHOA NGOẠI LỒNG NGỰC,LỒNG NGỰC,ChauPhuThi.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
33,TS. BS PHAN QUỐC HÙNG,PHÓ KHOA PHẪU THUẬT MẠCH MÁU,PHẪU THUẬT MẠCH MÁU,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
34,BS. CKII NGÔ VĂN HỒNG,TRƯỞNG KHOA MẮT,MẮT,None,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
35,BS. CKII TRẦN VĨNH LÂM,PHÓ KHOA MẮT,MẮT,https://finizz.com/uploads/photo/picture/47769/Screen_Shot_2017-05-17_at_9.54.24_PM.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
36,BS. CKII HOÀNG BÁ DŨNG,TRƯỞNG KHOA TAI MŨI HỌNG,TAI MŨI HỌNG,https://image.baophapluat.vn/w1000/Uploaded/2024/hgftuzsaozsm/2023_09_12/7c17fdc4-69ea-477a-b3ce-d92254e4955a-4471.jpeg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
37,TS. BS TRẦN ANH BÍCH,PHÓ KHOA TAI MŨI HỌNG,TAI MŨI HỌNG,PKAnhBich.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
38,TS. BS LƯU NGÂN TÂM,TRƯỞNG KHOA DINH DƯỠNG,DINH DƯỠNG,https://suckhoeonline.net.vn/upload/doctor/thumb_600x0/doctor-1666603317.png,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","9:00 AM, 10:00 AM, 11:00 AM, 12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM"
